year,value,series_code,dimension,measure,welfare_concept,short_reference,long_reference,reference url,preferred_definition,description,source_codes_used,legend
1987,5.49,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1988,5.6,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1989,5.06,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1990,5.34,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1991,5.7,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1992,5.56,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1993,6.22,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1994,6.79,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1995,6.99,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1996,8.21,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1997,7.9,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1998,8.39,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1999,7.38,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2000,7.57,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2001,7.44,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2002,7.41,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2003,9.07,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2004,9.09,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2005,9.67,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2006,9.24,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2007,9.77,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2008,9.25,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2009,7.99,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2010,7.21,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2011,7.96,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2012,7.64,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2013,6.86,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2014,8.01,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2015,7.36,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2016,7.34,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2017,8.29,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2018,8.06,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2019,7.86,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
2020,7.66,S42,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Post-tax national income (equal-split adults) (WID)
1990,9.8,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1991,10.32,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1992,9.86,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1993,10.36,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1994,10.63,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1995,10.74,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1996,11.9,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1997,12.07,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1998,12.53,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1999,13.24,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2000,13.51,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2001,13.39,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2002,13.03,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2003,13.24,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2004,13.3,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2005,14.22,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2006,14.82,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2007,15.44,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2008,15.4,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2009,15.42,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2010,12.55,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2011,12.93,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2012,12.7,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2013,14.53,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2014,13.88,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2015,16.36,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2016,17.33,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2017,16.43,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
2018,17.25,S43,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (including capital gains),WID,WID.world (accessed 21/12/2021),https://wid.world/country/united-kingdom/,,,,Share of top 1% - Pre-tax fiscal income (individuals) (including capital gains) (WID)
1961,13.02307502,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1962,13.38742957,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1963,14.94970348,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1964,12.14454798,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1965,13.13869446,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1966,13.29529085,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1967,13.06623211,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1968,12.03162699,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1969,13.77922193,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1970,13.02802506,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1971,14.75295521,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1972,15.78152862,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1973,13.57674718,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1974,13.45299514,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1975,12.54409417,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1976,12.28075837,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1977,11.33909885,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1978,13.05420082,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1979,13.33102722,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1980,15.1993522,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1981,13.64346743,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1982,12.16602509,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1983,12.62901655,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1984,12.81298189,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1985,14.0358454,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1986,15.79556643,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1987,17.80171726,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1988,20.91542125,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1989,21.4770733,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1990,22.16982672,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1991,21.19966911,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1992,21.85140225,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1993,19.8940681,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1994,18.84023121,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1995,17.89767607,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1996,19.42264186,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1997,19.5720932,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1998,19.34608933,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
1999,19.14613146,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2000,18.43866931,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2001,18.37075065,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2002,17.8036409,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2003,17.55185935,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2004,16.91707896,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2005,17.37842644,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2006,17.8980445,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2007,18.19109442,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2008,17.97566901,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2009,16.94794083,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2010,15.92449047,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
2011,15.75767364,S5,Poverty,Share below 60% median,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Poverty (BHS) (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Share below 60% median - Equivalised disposable household income (IFS)
